,flight_nbr,flight_time,flight_lat,flight_long
143,AC7996,1679246574,45.4601,-73.747
144,AC211,1679246583,51.1294,-114.0099
145,N/A,1679246583,49.1891,-123.1808
146,QK30,1679246583,48.9768,-123.6731
147,AC8299,1679246583,49.5164,-116.0179
148,AC690,1679246583,43.6853,-79.6281
149,AC789,1679246570,43.6794,-79.6135
150,AC7918,1679246580,45.4602,-73.7462
0,AC35,1679250225,-9.7345,154.9791
1,AC39,1679250231,-20.9761,-175.6778
2,AC33,1679250229,-4.3612,156.1225
3,AC7,1679250230,34.7465,134.9967
4,AC10,1679250230,63.0496,-115.5959
5,AC64,1679250232,49.1949,-123.11
6,AC25,1679250230,38.4503,142.6362
7,AC887,1679250225,43.6792,-79.6124
8,AC6,1679250225,60.1105,-102.2562
9,AC81,1679250229,60.545,-47.7224
10,AC893,1679250230,49.4467,-66.1949
11,AC62,1679250216,67.3512,-147.7419
12,AC873,1679250230,45.1966,-78.062
13,AC856,1679250232,22.378,65.643
14,AC827,1679250230,45.3485,-77.8387
15,AC877,1679250231,49.3587,-67.7064
16,AC835,1679250230,51.0229,-67.153
17,AC855,1679250230,48.0475,-74.1081
18,AC881,1679250231,54.8515,-58.0799
19,AC849,1679250233,72.0878,-82.0475
20,AC885,1679250233,59.3311,-56.3191
21,AC871,1679250229,54.3921,-63.8164
22,AC1325,1679250231,28.7311,-98.9118
23,AC540,1679250231,43.345,-83.7818
24,AC737,1679250232,37.6126,-122.3814
25,AC857,1679250229,58.1058,-36.7213
26,AC775,1679250232,36.006,-114.3961
27,AC7210,1679250230,50.2962,6.7192
28,AC999,1679250230,22.6236,-104.142
29,AC1332,1679250231,27.6527,-76.7595
30,AC851,1679250225,69.1679,-73.6813
31,AC760,1679250230,43.7901,-95.7567
32,AC1336,1679250230,14.8779,-63.1986
33,AC865,1679250229,55.5625,-55.3817
34,AC593,1679250230,31.9142,-92.7539
35,AC99,1679250230,34.5535,-77.4506
36,AC1346,1679250232,18.5632,-87.8454
37,AC986,1679250230,26.9947,-93.8459
38,AC584,1679250230,43.1745,-85.8869
39,AC1321,1679250210,18.3655,-83.2743
40,AC784,1679250231,42.8748,-87.4648
41,AC1206,1679250230,27.4621,-79.3612
42,AC861,1679250233,69.0767,-40.5289
43,AC137,1679250230,51.2812,-110.4054
44,AC107,1679250229,49.9744,-114.2945
45,AC165,1679250231,52.5188,-108.7675
46,AC956,1679250231,35.3601,-80.7268
47,AC736,1679250230,42.8451,-89.0027
48,AC104,1679250229,46.5384,-84.9641
49,AC354,1679250232,47.4817,-82.0896
50,AC932,1679250230,35.4865,-100.8745
51,AC342,1679250229,48.6013,-90.7118
52,AC551,1679250232,49.1994,-123.1776
53,AC1048,1679250232,44.3251,-95.886
54,AC550,1679250230,34.0196,-118.4026
55,AC548,1679250231,47.0874,-97.027
56,AC1300,1679250232,38.6902,-104.8672
57,AC1086,1679250230,30.4579,-82.2885
58,AC111,1679250230,47.8684,-98.2947
59,AC456,1679250224,43.6807,-79.6161
60,AC292,1679250232,50.4223,-99.12
61,AC8495,1679250198,43.6756,-79.6164
